Agency Name,State Name [District] Latest available year,Prekindergarten Students - American Indian/Alaska Native [District] 2016-17,Prekindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Prekindergarten Students - Hispanic [District] 2016-17,Prekindergarten Students - Black [District] 2016-17,Prekindergarten Students - White [District] 2016-17,Prekindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Prekindergarten Students Two or More Races [District] 2016-17,Kindergarten Students - American Indian/Alaska Native [District] 2016-17,Kindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Kindergarten Students - Hispanic [District] 2016-17,Kindergarten Students - Black [District] 2016-17,Kindergarten Students White [District] 2016-17,Kindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Kindergarten Students Two or More Races [District] 2016-17,Grade 1 Students - American Indian/Alaska Native [District] 2016-17,Grade 1 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 1 Students - Hispanic [District] 2016-17,Grade 1 Students - Black [District] 2016-17,Grade 1 Students - White [District] 2016-17,Grade 1 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 1 Students - Two or More Races [District] 2016-17,Grade 2 Students - American Indian/Alaska Native [District] 2016-17,Grade 2 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 2 Students - Hispanic [District] 2016-17,Grade 2 Students - Black [District] 2016-17,Grade 2 Students - White [District] 2016-17,Grade 2 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 2 Students - Two or More Races [District] 2016-17,Grade 3 Students - American Indian/Alaska Native [District] 2016-17,Grade 3 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 3 Students - Hispanic [District] 2016-17,Grade 3 Students - Black [District] 2016-17,Grade 3 Students - White [District] 2016-17,Grade 3 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 3 Students - Two or More Races [District] 2016-17,Grade 4 Students - American Indian/Alaska Native [District] 2016-17,Grade 4 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 4 Students - Hispanic [District] 2016-17,Grade 4 Students - Black [District] 2016-17,Grade 4 Students - White [District] 2016-17,Grade 4 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 4 Students - Two or More Races [District] 2016-17,Grade 5 Students - American Indian/Alaska Native [District] 2016-17,Grade 5 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 5 Students - Hispanic [District] 2016-17,Grade 5 Students - Black [District] 2016-17,Grade 5 Students - White [District] 2016-17,Grade 5 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 5 Students - Two or More Races [District] 2016-17
SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA CRUZ CITY ELEMENTARY,California,†,†,†,†,†,†,†,–,25,144,5,191,2,17,–,9,147,7,162,2,9,–,16,133,8,207,1,15,1,14,141,6,159,2,23,1,20,134,5,184,1,18,3,24,145,5,207,2,11
SANTA CRUZ CITY ELEMENTARY/HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA CRUZ CITY HIGH,California,†,†,†,†,†,†,†,–,1,–,–,2,–,–,–,1,–,–,1,–,–,–,1,2,–,11,–,–,–,–,–,–,1,–,2,–,–,1,1,6,–,–,–,–,1,–,7,–,–
SANTA CRUZ COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,–,–,–,–,–,1,–,–,1,–,2,–,1,–,–,–,–,1,–,–,–,–,–,–,2,–,–,–,–,1,–,2,–,1,–,–,1,1,3,–,1
SANTA CRUZ COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA MARIA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA MARIA-BONITA,California,†,†,†,†,†,†,†,6,41,2228,7,55,–,9,1,27,1897,7,52,1,5,3,26,1686,3,68,–,5,4,37,1751,7,54,–,11,4,32,1753,10,65,1,7,4,38,1756,7,45,–,9
SANTA MONICA-MALIBU UNIFIED,California,†,†,†,†,†,†,†,2,50,224,53,508,–,30,2,62,219,55,388,2,38,2,47,189,46,388,1,31,1,54,233,50,416,1,57,3,57,240,49,458,1,52,3,50,255,49,448,–,51
SANTA PAULA UNIFIED,California,†,†,†,†,†,†,†,–,–,428,–,20,–,1,1,1,373,2,11,–,2,1,–,384,1,15,–,1,–,–,369,1,14,–,1,1,2,414,–,19,1,2,1,2,458,–,15,–,–
SANTA RITA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,5,390,3,27,4,8,–,3,306,2,29,1,2,1,5,321,3,38,–,1,–,3,335,1,38,1,7,3,9,348,1,36,–,1,–,11,329,3,38,1,1
SANTA ROSA CITY SCHOOLS,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTA ROSA ELEMENTARY,California,†,†,†,†,†,†,†,7,45,622,15,237,3,50,4,38,478,13,215,2,28,4,39,446,15,216,3,35,5,35,506,13,177,1,28,3,31,397,10,178,2,30,2,37,429,21,182,1,28
SANTA ROSA HIGH,California,†,†,†,†,†,†,†,–,–,–,–,1,–,–,–,–,1,–,1,–,–,†,†,†,†,†,†,†,–,–,1,–,–,–,–,–,–,–,–,1,–,–,–,8,11,2,36,–,11
SANTA YNEZ VALLEY UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SANTEE,California,†,†,†,†,†,†,†,2,25,258,20,517,3,107,3,18,208,14,431,–,80,4,29,204,15,403,2,69,6,24,225,12,418,3,87,3,20,220,14,454,2,60,3,27,207,9,411,2,74
SARATOGA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,66,6,1,50,–,20,–,67,3,–,33,–,16,–,105,12,–,54,–,17,–,99,7,–,57,–,17,–,99,9,–,63,–,18,1,136,8,1,70,–,20
SAUCELITO ELEMENTARY,California,†,†,†,†,†,†,†,–,–,11,2,3,–,–,–,–,9,–,–,–,–,–,–,5,–,4,–,–,–,–,7,–,2,–,–,–,–,3,–,5,–,–,–,–,3,–,4,–,1
SAUGUS UNION,California,†,†,†,†,†,†,†,3,229,501,50,691,4,71,5,184,414,60,687,2,33,3,177,392,40,578,1,38,2,172,424,50,622,5,33,4,188,464,51,634,2,30,5,198,511,56,702,1,28
SAUSALITO MARIN CITY,California,†,†,†,†,†,†,†,–,10,19,17,18,–,7,–,4,16,9,23,–,6,1,3,16,17,22,–,5,–,7,22,18,24,–,9,1,7,13,14,24,–,7,–,7,19,16,18,–,1
SAVANNA ELEMENTARY,California,†,†,†,†,†,†,†,1,53,204,16,55,3,26,–,64,193,13,41,4,15,1,54,212,8,32,1,13,2,62,197,12,45,3,14,–,76,197,9,37,–,11,–,69,191,10,41,1,10
SBC - HIGH TECH HIGH,California,†,†,†,†,†,†,†,–,12,70,3,34,1,2,–,17,75,1,24,1,2,–,8,82,2,23,–,10,2,11,79,3,24,1,12,–,15,93,3,30,–,7,2,11,79,6,21,–,5
SBE - ACADEMIA AVANCE CHARTER,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - ANAHUACALMECAC INTERNATIONAL UNIV PREP OF N. AMERICA,CALIFORNIA,†,†,†,†,†,†,†,2,–,28,–,–,–,2,–,–,31,–,–,–,–,–,–,27,–,–,–,–,–,–,32,–,1,–,–,–,–,33,–,–,–,1,–,–,25,–,–,–,1
SBE - AUDEO CHARTER II,CALIFORNIA,†,†,†,†,†,†,†,–,–,–,–,–,–,1,0,0,0,0,0,0,0,–,–,–,–,–,–,1,–,–,1,–,–,–,–,–,–,–,–,–,–,1,0,0,0,0,0,0,0
SBE - BARACK OBAMA CHARTER,California,†,†,†,†,†,†,†,–,–,35,53,1,–,3,–,–,20,28,1,–,–,–,–,18,34,–,–,1,–,–,28,30,–,–,–,1,1,17,28,1,–,–,–,–,16,38,–,–,1
SBE - BAYPOINT PREPARATORY ACADEMY,CALIFORNIA,†,†,†,†,†,†,†,1,–,30,6,22,–,4,–,3,24,3,28,–,–,–,3,21,4,16,–,1,–,–,11,4,7,–,–,–,3,19,3,21,–,–,–,1,20,1,16,1,1
SBE - LIFELINE EDUCATION CHARTER,California,†,†,†,†,†,†,†,–,–,19,7,–,–,1,–,–,30,8,–,–,–,–,–,23,2,–,–,–,–,–,17,3,–,–,–,–,–,20,1,–,–,–,–,–,28,1,–,–,–
SBE - MAGNOLIA SCIENCE ACADEMY SANTA ANA,CALIFORNIA,†,†,†,†,†,†,†,–,3,64,–,1,–,1,–,–,42,–,2,–,1,2,–,45,1,3,–,1,–,–,55,1,4,–,–,–,1,52,–,2,–,–,–,1,45,–,5,–,1
SBE - NEW WEST CHARTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - OLIVE GROVE CHARTER,CALIFORNIA,†,†,†,†,†,†,†,–,–,1,–,4,–,–,–,–,3,–,1,–,–,–,–,1,–,3,–,–,–,–,3,–,5,–,–,–,–,1,–,1,–,–,–,–,1,1,2,–,–
SBE - ONEPURPOSE,CALIFORNIA,†,†,†,†,†,†,†,–,3,23,38,–,1,3,–,–,14,15,–,2,1,–,–,8,13,–,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBE - PARAMOUNT COLLEGIATE ACADEMY,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - PREPA TEC LOS ANGELES HIGH,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - RIDGECREST CHARTER,California,†,†,†,†,†,†,†,1,1,21,1,41,–,5,–,1,14,1,41,–,3,2,2,16,2,34,–,8,–,–,20,2,39,–,2,–,3,22,–,31,–,5,–,2,17,–,32,–,1
SBE - ROCKETSHIP FUTURO ACADEMY,CALIFORNIA,†,†,†,†,†,†,†,–,3,58,3,2,2,4,–,1,23,2,1,–,–,–,2,22,–,1,–,–,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBE - ROSS VALLEY ELEMENTARY,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - THE NEW SCHOOL OF SAN FRANCISCO,CALIFORNIA,†,†,†,†,†,†,†,–,3,–,1,24,–,18,–,5,–,1,19,–,18,2,3,1,4,16,–,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBE - THE SCHOOL OF ARTS AND ENTERPRISE,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - THRIVE PUBLIC,CALIFORNIA,†,†,†,†,†,†,†,1,9,24,13,39,–,16,–,4,13,6,17,–,6,–,2,21,2,18,2,4,1,2,21,4,14,–,3,1,2,14,6,14,1,1,1,–,16,3,8,–,5
SBE - WEI YU INTERNATIONAL CHARTER,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SCHOOL PROJECT UTILITY RATE REDUCTION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SCOTIA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,3,–,17,1,4,–,–,3,–,10,–,7,1,–,2,–,11,–,1,–,–,3,–,17,–,2,–,–,4,–,20,–,3,2,–,2,–,19,–,3
SCOTT VALLEY UNIFIED,California,†,†,†,†,†,†,†,2,–,6,–,41,1,12,12,–,8,–,32,–,5,5,–,5,–,35,–,9,6,1,8,–,27,–,6,11,–,4,–,33,–,3,7,2,2,–,25,–,4
SCOTTS VALLEY UNIFIED,California,†,†,†,†,†,†,†,–,10,26,1,156,–,22,–,12,24,1,118,1,16,1,4,29,3,120,–,18,1,11,21,1,127,–,16,–,12,20,–,115,–,22,1,11,25,–,150,–,16
SEBASTOPOL UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,32,–,73,1,15,–,2,23,2,54,1,13,–,–,20,–,62,–,8,1,–,24,–,62,–,10,–,–,21,1,58,1,7,1,4,32,1,61,–,6
SEELEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,1,32,–,4,–,1,–,–,45,1,1,–,2,1,–,34,1,3,–,1,–,–,40,–,3,–,1,–,1,28,–,4,–,–,–,1,33,1,1,–,–
SEIAD ELEMENTARY,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,–,–,–,–,–,–,2,1,–,–,–,–,–,–,–,–,1,–,1,1,–,1,–,1,–,–,–,–,1,–,–,–,–,–,–
SELMA UNIFIED,California,†,†,†,†,†,†,†,–,26,461,3,22,1,–,–,27,451,1,29,1,1,2,13,437,2,32,–,2,1,9,451,1,20,–,1,–,12,482,1,27,1,–,–,21,482,–,20,–,1
SEMITROPIC ELEMENTARY,California,†,†,†,†,†,†,†,–,–,21,–,–,–,–,–,–,24,–,–,–,–,1,–,17,1,1,–,–,–,–,26,–,–,–,–,–,–,26,1,–,–,–,–,–,26,–,–,–,–
SEQUOIA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,11,–,27,–,1,1,1,9,–,18,–,1,–,–,13,–,29,–,1,–,1,13,–,23,–,1,–,–,13,–,17,–,–,–,–,12,–,25,–,2
SEQUOIA UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SHAFFER UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,–,4,–,14,–,–,3,1,7,–,11,–,2,–,–,6,–,10,–,2,1,–,6,–,11,–,–,1,–,7,–,10,–,1,1,–,10,–,15,–,1
SHANDON JOINT UNIFIED,California,†,†,†,†,†,†,†,–,–,16,–,4,–,5,–,–,20,1,3,–,2,–,–,22,–,5,–,3,–,–,25,3,8,–,2,–,–,15,–,5,–,1,–,–,16,–,6,–,–
SHASTA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,1,1,6,–,35,–,5,–,–,5,–,39,–,7,–,–,5,–,31,–,7,1,–,4,–,46,–,6,1,1,7,–,40,–,7,–,1,6,–,49,–,3
SHASTA UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,–,3,–,18,–,–,2,–,2,–,21,1,1,–,–,3,–,13,–,–,1,–,2,1,14,1,–,–,–,1,1,15,–,–,2,–,3,–,19,–,–
SHASTA UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,1,–,–,–,1,–,–,–,–,–,–,1,–,–,–,–,–,3,3,–,–
SHASTA-TRINITY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SHASTA-TRINITY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SHILOH ELEMENTARY,California,†,†,†,†,†,†,†,–,–,14,–,7,–,3,–,1,9,–,5,–,4,–,–,14,–,5,–,1,–,–,12,–,7,–,1,–,–,14,–,4,–,–,–,–,13,–,7,–,1
SHORELINE UNIFIED,California,†,†,†,†,†,†,†,1,–,23,–,18,1,3,–,2,20,–,12,–,1,–,–,22,–,18,–,–,–,–,23,–,17,–,1,2,2,14,–,14,–,1,1,–,18,–,17,–,–
SIERRA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA SANDS UNIFIED,California,†,†,†,†,†,†,†,8,12,138,19,247,1,20,6,8,101,25,221,5,14,5,16,127,21,230,–,12,2,16,90,19,221,1,16,4,17,118,13,212,2,11,6,15,108,18,211,3,12
SIERRA UNIFIED,California,†,†,†,†,†,†,†,20,2,23,2,71,–,1,10,4,17,1,52,–,1,15,1,17,1,56,–,–,15,1,21,1,50,–,2,16,–,18,1,63,–,1,13,3,15,1,46,–,1
SIERRA-PLUMAS JOINT UNIFIED,California,†,†,†,†,†,†,†,–,–,1,–,22,–,–,–,–,6,–,20,–,–,–,–,6,–,18,–,6,–,–,6,1,25,–,1,–,–,4,–,25,–,–,–,–,1,–,24,–,3
SILICON VALLEY JOINT POWERS TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SILVER FORK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,1,–,–,–,–,–,–,1,–,–,–,–,–,–,1,–,–,0,0,0,0,0,0,0,–,–,–,–,2,–,–,–,–,–,–,1,–,–
SILVER VALLEY UNIFIED,California,†,†,†,†,†,†,†,4,9,108,33,147,6,25,5,9,85,14,73,–,25,3,3,74,28,86,4,18,1,4,68,11,77,4,16,1,7,68,20,65,5,11,1,3,58,14,69,5,19
SIMI VALLEY UNIFIED,California,†,†,†,†,†,†,†,1,122,549,9,614,–,84,4,119,413,12,517,4,61,1,133,442,10,532,1,54,–,99,442,11,534,2,66,–,116,486,10,569,2,62,1,129,486,7,643,2,59
SISKIYOU COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,1,–,5,–,19,–,5,–,–,7,–,21,–,8,1,–,4,–,21,–,8,–,3,4,–,17,–,3,1,1,4,1,16,–,5,–,–,3,–,24,–,6
SISKIYOU ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SISKIYOU UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SNELLING-MERCED FALLS UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,4,–,8,–,2,–,–,4,–,1,–,–,1,–,3,1,4,–,–,–,–,4,–,7,–,–,–,–,2,–,9,–,–,–,–,5,–,3,–,–
SNOWLINE JOINT UNIFIED,California,†,†,†,†,†,†,†,1,10,231,21,150,1,159,2,4,228,40,167,1,70,7,9,242,38,178,2,41,2,8,253,32,186,3,52,2,13,248,44,241,–,27,3,12,293,34,246,4,32
SOLANA BEACH ELEMENTARY,California,†,†,†,†,†,†,†,1,90,55,1,176,–,34,–,115,51,–,216,–,38,1,89,61,1,229,–,41,1,117,61,1,227,1,24,–,123,60,1,234,–,25,–,117,74,1,247,–,27
SOLANO COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,1,4,–,5,–,–,–,1,8,2,8,–,1,–,4,5,1,5,–,5,–,1,5,1,4,–,–,–,1,5,3,5,–,3,–,4,6,1,6,–,1
SOLEDAD UNIFIED,California,†,†,†,†,†,†,†,–,7,359,1,8,–,2,1,–,363,2,5,–,–,–,8,329,2,8,–,1,1,6,353,1,8,–,2,1,5,382,3,6,–,1,–,6,378,1,9,1,1
SOLVANG ELEMENTARY,California,†,†,†,†,†,†,†,–,–,40,–,26,–,5,–,–,31,1,20,–,1,–,2,24,–,27,–,–,1,–,48,–,25,–,2,2,2,37,2,26,–,–,–,1,40,1,33,–,–
SOMIS UNION,California,†,†,†,†,†,†,†,–,1,24,–,22,–,2,–,–,12,–,8,–,1,–,–,18,–,10,–,2,–,1,14,–,8,–,1,–,–,26,–,6,–,2,–,1,16,–,8,–,1
SONOMA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,1,1,13,–,12,–,–,–,–,10,2,10,–,3,–,1,12,4,7,–,–,1,2,10,1,5,–,–,–,–,12,1,6,–,–,4,–,10,2,13,–,–
SONOMA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SONOMA VALLEY UNIFIED,California,†,†,†,†,†,†,†,2,3,233,–,120,1,22,–,3,190,1,121,1,12,–,5,215,3,103,–,11,1,6,203,1,105,–,24,1,7,184,1,135,–,6,2,15,214,1,127,2,12
SONORA ELEMENTARY,California,†,†,†,†,†,†,†,2,2,10,1,67,–,5,–,4,18,–,52,–,6,2,2,6,–,57,1,4,1,4,19,–,64,–,4,–,3,7,1,50,–,–,–,4,17,–,66,1,4
SONORA UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOQUEL UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,7,64,–,150,–,19,–,4,56,1,95,–,11,1,4,67,2,118,–,12,2,1,55,1,113,1,10,1,4,83,1,125,–,16,–,6,71,1,121,–,17
SOULSBYVILLE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,9,–,35,–,1,–,–,8,–,35,–,6,–,1,3,1,46,–,4,–,–,12,–,41,–,4,–,–,9,–,48,–,3,–,–,12,–,50,–,6
SOUTH BAY UNION,California,†,†,†,†,†,†,†,3,41,920,39,69,–,31,2,42,783,33,61,3,22,1,33,733,24,58,3,33,2,34,798,26,61,7,17,3,34,891,28,71,4,22,1,43,919,23,62,5,38
SOUTH BAY UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,1,20,–,54,–,8,3,2,10,–,62,1,6,1,4,19,1,53,–,7,5,1,16,1,56,1,11,3,4,22,–,47,–,9,4,2,24,–,62,–,9
SOUTH COUNTY SUPPORT SERVICES AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTH FORK UNION,California,†,†,†,†,†,†,†,1,–,4,–,21,–,1,–,–,1,–,32,–,3,1,–,4,–,20,–,1,1,–,3,–,24,–,1,1,–,4,–,16,–,1,–,–,5,–,15,–,–
SOUTH MONTEREY COUNTY JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTH PASADENA UNIFIED,California,†,†,†,†,†,†,†,1,116,69,12,95,–,58,–,108,93,5,83,–,49,–,108,61,5,102,–,49,1,117,100,6,103,1,70,–,114,97,2,109,1,33,1,130,80,4,91,–,44
SOUTH SAN FRANCISCO UNIFIED,California,†,†,†,†,†,†,†,5,276,355,15,42,19,46,–,248,329,7,39,21,35,1,200,338,11,27,13,35,2,227,325,6,50,18,37,1,209,336,6,48,12,32,–,228,351,12,49,8,39
SOUTH WHITTIER ELEMENTARY,California,†,†,†,†,†,†,†,–,4,316,3,8,1,–,1,2,262,1,3,–,–,–,4,281,3,8,1,1,–,4,301,4,8,–,1,1,2,285,2,13,1,1,1,3,343,–,9,–,–
SOUTHEAST ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHEAST ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN CALIFORNIA ROC,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN CALIFORNIA ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN HUMBOLDT JOINT UNIFIED,California,†,†,†,†,†,†,†,–,–,9,–,43,–,3,1,–,10,–,46,–,6,–,1,5,–,39,2,6,2,–,8,1,46,1,3,–,–,8,2,50,2,5,–,1,16,–,52,–,2
SOUTHERN KERN UNIFIED,California,†,†,†,†,†,†,†,2,8,182,32,107,1,8,2,7,141,30,89,–,7,2,2,121,31,71,1,12,1,6,151,22,93,1,8,2,2,144,36,89,1,6,1,4,156,22,94,1,9
SOUTHERN PLACER SCHOOLS TRANSPORTATION AUTHORITY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN TRINITY JOINT UNIFIED,California,†,†,†,†,†,†,†,–,–,–,–,9,–,3,–,–,1,–,4,–,1,–,–,–,–,7,–,1,–,–,–,–,7,–,–,–,–,1,–,7,–,1,–,–,1,–,6,–,1
SOUTHSIDE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,14,–,9,–,–,–,–,12,–,10,–,–,–,–,14,–,9,–,1,–,–,7,–,3,–,9,–,–,21,–,5,–,6,–,–,15,1,3,–,8
SOUTHWEST TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SPENCER VALLEY ELEMENTARY,California,†,†,†,†,†,†,†,–,6,44,6,38,–,7,–,3,28,10,37,1,6,2,5,30,8,50,5,14,1,4,34,10,52,–,14,1,10,26,13,50,–,15,2,6,47,13,67,1,7
