Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
SBE - ONEPURPOSE,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - PARAMOUNT COLLEGIATE ACADEMY,CALIFORNIA,–,–,8,–,8,–,1,–,2,5,2,12,–,–,–,–,6,3,12,–,–,–,–,4,3,7,–,–
SBE - PREPA TEC LOS ANGELES HIGH,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,–,111,–,1,–,–
SBE - RIDGECREST CHARTER,California,–,2,17,1,31,–,2,–,3,11,–,14,–,1,–,1,8,–,12,–,2,†,†,†,†,†,†,†
SBE - ROCKETSHIP FUTURO ACADEMY,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - ROSS VALLEY ELEMENTARY,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - THE NEW SCHOOL OF SAN FRANCISCO,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SBE - THE SCHOOL OF ARTS AND ENTERPRISE,California,–,–,61,5,9,–,1,–,1,90,5,12,2,13,1,2,86,3,13,1,16,–,1,91,8,14,1,4
SBE - THRIVE PUBLIC,CALIFORNIA,–,1,21,10,10,–,4,–,–,15,5,5,–,1,–,–,13,4,8,–,2,–,2,23,11,8,–,4
SBE - WEI YU INTERNATIONAL CHARTER,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SCHOOL PROJECT UTILITY RATE REDUCTION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SCOTIA UNION ELEMENTARY,California,–,1,2,–,17,–,1,1,–,2,–,24,–,1,1,1,2,–,20,–,3,†,†,†,†,†,†,†
SCOTT VALLEY UNIFIED,California,10,1,12,1,30,–,6,5,2,7,–,22,–,5,4,1,4,1,30,–,3,8,1,6,1,38,–,3
SCOTTS VALLEY UNIFIED,California,1,5,22,–,136,–,14,1,9,28,–,126,–,26,–,5,34,–,141,–,25,2,5,26,–,153,–,36
SEBASTOPOL UNION ELEMENTARY,California,1,1,32,–,63,–,7,1,2,32,1,49,–,9,1,2,39,1,80,–,11,†,†,†,†,†,†,†
SEELEY UNION ELEMENTARY,California,–,–,31,–,2,–,–,–,–,28,–,1,–,2,–,–,28,–,2,–,–,†,†,†,†,†,†,†
SEIAD ELEMENTARY,California,1,–,1,–,–,–,–,–,–,1,–,1,–,1,–,–,2,–,3,–,–,†,†,†,†,†,†,†
SELMA UNIFIED,California,–,22,437,–,17,–,–,–,19,447,3,29,–,1,–,16,448,1,17,–,–,3,17,448,–,32,–,2
SEMITROPIC ELEMENTARY,California,–,–,19,–,3,–,–,–,–,27,–,2,–,–,–,–,30,–,1,–,–,†,†,†,†,†,†,†
SEQUOIA UNION ELEMENTARY,California,–,–,13,–,26,–,–,1,–,12,–,18,1,2,–,–,12,–,29,–,–,†,†,†,†,†,†,†
SEQUOIA UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,3,211,1143,65,917,61,113
SHAFFER UNION ELEMENTARY,California,1,1,4,–,14,–,1,1,–,8,–,11,1,–,–,–,6,–,7,–,–,†,†,†,†,†,†,†
SHANDON JOINT UNIFIED,California,–,–,20,–,3,1,1,–,–,17,–,4,–,–,–,–,12,–,8,–,1,–,–,19,–,7,–,–
SHASTA COUNTY OFFICE OF EDUCATION,California,1,–,5,–,40,–,9,1,–,9,–,34,–,5,1,1,4,–,28,–,4,–,–,1,–,11,–,1
SHASTA UNION ELEMENTARY,California,2,–,1,–,9,–,–,1,–,–,–,8,–,–,1,–,–,–,2,–,–,†,†,†,†,†,†,†
SHASTA UNION HIGH,California,2,15,15,1,112,–,15,1,5,19,–,114,–,18,2,11,20,1,116,–,16,59,75,160,20,918,5,83
SHASTA-TRINITY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SHASTA-TRINITY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SHILOH ELEMENTARY,California,–,–,7,–,2,–,2,–,–,7,–,4,–,2,–,–,9,–,2,–,1,†,†,†,†,†,†,†
SHORELINE UNIFIED,California,–,–,28,–,18,–,–,–,1,30,–,13,2,–,1,1,23,–,11,–,1,–,1,23,–,20,–,–
SIERRA COUNTY OFFICE OF EDUCATION,California,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
SIERRA SANDS UNIFIED,California,11,9,89,22,215,3,11,6,27,102,26,238,1,8,8,20,102,22,231,5,3,2,26,99,27,233,4,4
SIERRA UNIFIED,California,13,5,15,–,67,–,–,20,–,11,–,66,–,–,13,3,14,–,60,–,1,11,1,17,1,71,–,3
SIERRA-PLUMAS JOINT UNIFIED,California,–,–,4,–,23,–,–,–,1,3,1,23,–,–,–,–,7,–,31,–,3,–,–,5,–,25,–,3
SILICON VALLEY JOINT POWERS TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SILVER FORK ELEMENTARY,California,–,–,1,–,2,–,–,–,–,–,–,2,–,–,="0",="0",="0",="0",="0",="0",="0",†,†,†,†,†,†,†
SILVER VALLEY UNIFIED,California,1,2,48,15,60,4,15,1,4,51,22,46,5,21,4,4,28,17,64,6,6,1,4,43,21,50,2,11
SIMI VALLEY UNIFIED,California,3,134,460,13,624,–,47,4,104,463,18,659,2,45,–,155,462,12,670,4,43,6,158,519,19,751,1,45
SISKIYOU COUNTY OFFICE OF EDUCATION,California,3,–,1,–,32,–,3,–,–,7,–,33,–,7,2,–,8,1,38,–,8,1,–,13,–,21,–,2
SISKIYOU ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
SISKIYOU UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,5,2,25,3,68,–,13
SNELLING-MERCED FALLS UNION ELEMENTARY,California,–,–,4,–,2,–,–,–,–,3,–,2,–,–,–,–,5,–,2,–,–,†,†,†,†,†,†,†
SNOWLINE JOINT UNIFIED,California,4,10,283,33,248,1,27,5,12,306,41,241,4,28,3,15,309,42,277,2,25,5,14,289,50,237,1,33
SOLANA BEACH ELEMENTARY,California,–,108,61,5,269,–,29,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOLANO COUNTY OFFICE OF EDUCATION,California,–,2,7,2,4,–,2,–,–,8,1,5,–,2,–,5,9,4,5,–,4,1,3,8,8,6,–,2
SOLEDAD UNIFIED,California,1,8,367,–,11,1,2,–,9,362,–,6,–,2,–,8,315,2,6,1,1,1,5,383,3,7,2,–
SOLVANG ELEMENTARY,California,–,–,31,–,21,–,2,–,1,36,1,39,–,4,1,1,26,1,28,–,2,†,†,†,†,†,†,†
SOMIS UNION,California,–,–,19,–,9,–,–,–,–,18,–,6,–,2,–,–,17,–,4,–,–,†,†,†,†,†,†,†
SONOMA COUNTY OFFICE OF EDUCATION,California,1,–,12,–,9,–,–,1,–,7,2,9,–,1,1,–,14,2,11,–,2,2,–,26,4,12,–,–
SONOMA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SONOMA VALLEY UNIFIED,California,3,6,204,–,140,–,10,2,10,206,2,128,–,6,4,10,186,2,155,2,3,3,12,218,4,138,1,6
SONORA ELEMENTARY,California,1,2,13,–,66,–,2,–,6,17,–,61,–,3,–,7,9,1,48,–,8,†,†,†,†,†,†,†
SONORA UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,1,2,49,2,195,–,9
SOQUEL UNION ELEMENTARY,California,–,5,67,2,128,–,16,2,4,74,–,154,–,12,2,12,94,4,147,2,15,†,†,†,†,†,†,†
SOULSBYVILLE ELEMENTARY,California,3,–,8,1,40,–,4,1,–,11,–,37,–,2,1,–,10,–,39,–,3,†,†,†,†,†,†,†
SOUTH BAY UNION,California,–,59,916,24,75,7,27,–,4,93,4,24,–,2,–,5,84,6,22,1,1,†,†,†,†,†,†,†
SOUTH BAY UNION ELEMENTARY,California,12,3,15,1,48,–,9,1,1,10,1,36,1,11,4,4,11,1,44,–,3,–,–,2,1,28,–,2
SOUTH COUNTY SUPPORT SERVICES AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTH FORK UNION,California,3,–,5,–,20,–,2,1,–,7,–,11,–,–,1,–,10,–,21,–,–,†,†,†,†,†,†,†
SOUTH MONTEREY COUNTY JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,5,3,611,5,24,–,9
SOUTH PASADENA UNIFIED,California,–,116,88,4,128,–,51,–,130,93,6,109,–,39,2,150,99,8,119,1,26,–,124,88,5,96,1,23
SOUTH SAN FRANCISCO UNIFIED,California,2,235,313,5,46,12,36,1,239,309,18,35,16,49,3,266,292,7,47,13,39,–,236,331,10,55,15,29
SOUTH WHITTIER ELEMENTARY,California,1,10,317,1,13,–,–,–,8,302,3,13,1,–,–,8,346,2,14,–,1,†,†,†,†,†,†,†
SOUTHEAST ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
SOUTHEAST ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN CALIFORNIA ROC,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN CALIFORNIA ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN HUMBOLDT JOINT UNIFIED,California,–,–,7,–,45,2,5,–,–,10,1,61,–,4,4,2,5,1,45,–,1,3,–,12,–,30,–,2
SOUTHERN KERN UNIFIED,California,3,4,136,24,86,2,8,3,2,137,17,78,–,3,3,5,130,27,68,–,6,–,1,127,31,83,3,5
SOUTHERN PLACER SCHOOLS TRANSPORTATION AUTHORITY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN TRINITY JOINT UNIFIED,California,1,–,2,–,13,–,1,–,–,–,–,6,–,–,–,–,–,–,4,–,–,–,–,–,–,4,–,–
SOUTHSIDE ELEMENTARY,California,–,–,20,1,2,–,10,–,–,13,–,1,–,10,–,–,15,–,1,–,16,†,†,†,†,†,†,†
SOUTHWEST TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SPENCER VALLEY ELEMENTARY,California,–,11,41,14,65,–,15,1,10,51,13,66,3,21,–,9,75,16,105,1,15,1,7,58,23,76,4,21
SPRECKELS UNION ELEMENTARY,California,–,7,39,1,65,–,9,–,12,34,1,63,–,12,–,4,34,1,75,–,6,†,†,†,†,†,†,†
SPRINGVILLE UNION ELEMENTARY,California,1,1,9,–,37,–,–,1,–,2,–,23,–,–,1,1,7,–,22,–,–,†,†,†,†,†,†,†
STANDARD ELEMENTARY,California,6,4,95,2,237,–,8,6,3,103,6,179,–,9,4,2,89,3,223,–,3,†,†,†,†,†,†,†
STANISLAUS COUNTY OFFICE OF EDUCATION,California,–,5,58,2,77,1,5,1,4,61,7,62,–,6,2,6,83,5,89,2,3,2,–,48,3,23,–,3
STANISLAUS UNION ELEMENTARY,California,3,51,196,16,103,2,15,2,41,176,20,92,5,16,–,53,167,21,85,5,21,†,†,†,†,†,†,†
STOCKTON UNIFIED,California,70,442,2073,366,209,19,67,72,439,2062,354,210,14,58,64,392,1918,302,187,21,59,75,417,1752,323,164,18,41
STONE CORRAL ELEMENTARY,California,–,–,15,–,–,–,–,–,–,12,–,–,–,–,–,–,12,–,–,–,–,–,3,110,1,27,–,5
STONY CREEK JOINT UNIFIED,California,4,–,2,–,1,–,1,5,–,–,–,1,–,–,8,–,1,–,3,–,–,3,–,–,–,1,–,1
STRATHMORE UNION ELEMENTARY,California,1,–,84,1,11,–,1,–,–,89,–,11,–,–,1,–,90,–,9,1,–,†,†,†,†,†,†,†
SULPHUR SPRINGS UNION,California,3,71,409,51,235,2,27,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SUMMERVILLE ELEMENTARY,California,2,–,4,1,31,–,5,5,–,4,–,21,–,3,1,–,12,–,31,–,6,†,†,†,†,†,†,†
SUMMERVILLE UNION HIGH,California,1,1,3,–,16,–,1,1,–,7,2,33,–,2,1,–,5,1,27,–,1,8,1,31,2,131,1,9
SUNDALE UNION ELEMENTARY,California,–,–,43,–,44,–,–,–,1,43,1,44,–,–,–,1,36,–,45,–,–,†,†,†,†,†,†,†
SUNNYSIDE UNION ELEMENTARY,California,–,–,32,–,2,–,–,–,–,39,–,2,–,–,–,–,40,–,5,–,–,†,†,†,†,†,†,†
SUNNYVALE,California,10,209,282,10,147,4,42,5,206,216,9,129,4,25,6,203,225,16,154,5,26,†,†,†,†,†,†,†
SUNOL GLEN UNIFIED,California,–,5,7,–,17,–,4,–,4,6,–,7,–,4,–,3,7,–,10,–,2,†,†,†,†,†,†,†
SURPRISE VALLEY JOINT UNIFIED,California,–,–,–,–,9,–,–,2,–,4,–,3,–,–,–,–,2,–,5,–,–,–,–,3,–,4,–,–
SUSANVILLE ELEMENTARY,California,7,5,22,2,59,5,8,8,2,24,–,49,8,16,8,3,20,3,57,3,4,†,†,†,†,†,†,†
SUTTER COUNTY OFFICE OF EDUCATION,California,1,–,12,–,6,–,1,1,–,9,2,10,–,2,–,1,5,–,7,1,2,–,–,17,–,13,–,4
SUTTER UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,1,7,53,–,118,–,6
SWEETWATER UNION HIGH,California,–,–,46,–,3,–,2,3,593,4093,134,363,15,298,6,627,4198,161,329,23,278,6,613,5134,186,381,28,306
SYLVAN UNION ELEMENTARY,California,5,103,431,57,329,14,41,5,90,374,44,393,12,38,4,119,446,31,396,7,31,†,†,†,†,†,†,†
TAFT CITY,California,–,2,133,3,86,–,5,2,–,131,2,99,2,7,1,1,96,2,110,1,4,†,†,†,†,†,†,†
TAFT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,4,2,130,2,123,2,3
TAHOE-TRUCKEE UNIFIED,California,1,3,122,1,177,–,8,1,4,108,–,176,–,10,1,4,116,1,193,–,9,6,1,114,1,181,–,10
TAMALPAIS UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,1,90,149,21,897,5,68
TEHACHAPI UNIFIED,California,2,5,103,6,217,1,6,1,7,113,5,191,–,1,1,7,103,5,210,–,2,5,8,99,8,231,2,3
TEHAMA COUNTY DEPARTMENT OF EDUCATION,California,–,–,3,–,12,–,1,–,–,2,1,9,–,–,–,–,6,–,18,–,3,–,–,–,–,9,–,1
TEHAMA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TEMECULA VALLEY UNIFIED,California,16,202,789,72,1007,2,250,16,242,790,77,996,6,211,10,212,802,82,986,10,248,17,242,794,87,1101,4,235
TEMPLE CITY UNIFIED,California,3,304,92,4,42,1,19,–,343,102,–,27,–,15,–,297,85,3,37,–,12,–,335,103,3,55,2,7
TEMPLETON UNIFIED,California,1,2,43,–,130,–,7,–,4,48,–,116,1,6,–,1,27,3,138,1,10,1,2,35,1,147,–,12
TERRA BELLA UNION ELEMENTARY,California,–,–,101,–,3,–,–,1,–,87,1,2,–,1,–,–,91,1,1,–,–,†,†,†,†,†,†,†
THERMALITO UNION ELEMENTARY,California,8,42,21,5,62,1,7,12,43,18,4,71,–,9,5,50,15,4,62,–,5,†,†,†,†,†,†,†
THREE RIVERS UNION ELEMENTARY,California,–,–,2,–,10,–,–,–,1,6,–,7,–,2,–,–,4,–,10,–,2,†,†,†,†,†,†,†
TIPTON ELEMENTARY,California,–,–,55,–,4,–,1,1,–,55,–,–,–,3,–,–,45,–,4,–,4,†,†,†,†,†,†,†
TORRANCE UNIFIED,California,3,638,575,56,378,6,163,4,624,559,89,449,12,152,4,637,562,65,440,6,160,4,662,612,93,430,12,173
TRACY JOINT UNIFIED,California,5,180,632,73,218,17,39,–,180,595,71,240,13,33,1,171,618,90,246,14,34,8,281,781,118,414,18,59
TRAVER JOINT ELEMENTARY,California,–,1,27,–,1,–,–,–,1,21,–,3,–,–,–,1,14,–,1,–,–,†,†,†,†,†,†,†
TRAVIS UNIFIED,California,–,66,88,48,176,6,53,4,61,112,47,181,4,30,6,81,115,59,162,5,44,5,79,105,66,172,4,42
TRES PINOS UNION ELEMENTARY,California,–,–,3,–,11,–,–,1,–,5,–,12,–,1,–,–,5,–,13,–,1,†,†,†,†,†,†,†
TRI-CITIES ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRI-CITIES ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
TRI-COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
TRI-VALLEY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
TRI-VALLEY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRINIDAD UNION ELEMENTARY,California,1,–,1,–,20,–,4,3,–,3,–,14,–,3,–,–,1,–,17,–,1,†,†,†,†,†,†,†
TRINITY ALPS UNIFIED,California,1,1,5,–,45,1,2,2,–,5,1,34,–,1,5,–,3,–,38,–,3,7,2,7,–,66,–,10
TRINITY CENTER ELEMENTARY,California,–,–,–,–,3,–,–,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",†,†,†,†,†,†,†
TRINITY COUNTY OFFICE OF EDUCATION,California,–,–,–,–,1,–,–,–,–,–,–,1,–,–,="0",="0",="0",="0",="0",="0",="0",–,–,2,1,4,–,–
TRONA JOINT UNIFIED,California,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
TULARE CITY,California,3,25,818,25,166,5,12,3,16,825,31,172,2,7,3,21,765,50,207,1,6,†,†,†,†,†,†,†
TULARE COUNTY OFFICE OF EDUCATION,California,–,6,96,4,54,1,6,1,2,102,1,63,1,6,2,3,96,3,66,–,1,3,9,118,5,62,2,4
TULARE JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,5,19,1100,43,285,2,15
TULELAKE BASIN JOINT UNIFIED,California,–,–,26,1,6,–,–,–,–,28,–,4,–,–,–,–,23,–,10,–,–,–,–,27,–,12,–,2
TUOLUMNE COUNTY SUPERINTENDENT OF SCHOOLS,California,–,–,5,1,13,–,–,1,1,4,–,11,–,–,–,–,3,–,15,–,–,1,–,1,–,4,1,–
TURLOCK UNIFIED,California,8,58,608,16,348,3,23,7,45,571,16,365,6,32,10,52,568,17,333,5,26,11,51,707,27,417,7,31
TUSTIN UNIFIED,California,4,423,812,34,521,4,49,5,419,945,31,565,7,83,5,418,915,37,564,4,53,10,374,920,40,568,12,60
TWAIN HARTE,California,1,–,2,–,31,–,–,–,1,3,–,24,1,–,–,1,1,–,19,–,1,†,†,†,†,†,†,†
TWIN HILLS UNION ELEMENTARY,California,–,–,22,1,106,–,9,–,2,22,–,106,–,16,–,1,27,2,119,–,16,–,1,3,–,17,–,2
TWIN RIDGES ELEMENTARY,California,–,–,1,–,5,–,3,–,–,1,–,10,–,1,–,–,–,–,3,–,3,†,†,†,†,†,†,†
TWIN RIVERS UNIFIED,California,18,175,985,328,672,32,148,18,223,1078,358,654,39,127,21,211,1017,309,596,46,125,12,188,834,272,535,23,91
TWO ROCK UNION,California,–,–,9,1,7,–,2,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UKIAH UNIFIED,California,43,6,260,5,205,1,8,29,6,249,4,192,2,15,29,10,236,3,196,–,13,26,7,233,4,210,3,12
UNION ELEMENTARY,California,1,158,108,9,301,2,59,–,125,116,6,351,5,59,2,136,106,6,347,3,32,†,†,†,†,†,†,†
UNION HILL ELEMENTARY,California,–,1,5,–,50,1,7,–,–,1,–,53,–,1,–,–,2,–,54,–,4,†,†,†,†,†,†,†
UNION JOINT ELEMENTARY,California,–,–,1,–,1,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UPLAND UNIFIED,California,2,65,501,58,241,1,24,3,70,472,68,247,4,16,4,66,433,56,221,–,24,1,67,499,97,219,4,14
UPPER LAKE UNIFIED,CALIFORNIA,12,–,19,3,38,–,2,2,1,20,–,25,–,–,8,1,13,1,24,–,–,9,1,30,1,30,–,7
UPPER LAKE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UPPER LAKE UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VACAVILLE UNIFIED,California,7,45,354,48,391,3,87,5,62,341,46,411,2,98,10,48,324,66,406,12,52,10,66,450,103,542,7,84
VAL VERDE UNIFIED,California,3,63,1164,229,81,4,20,5,45,1170,210,80,2,34,5,53,1153,212,74,11,35,9,54,1216,280,77,7,33
VALLE LINDO ELEMENTARY,California,–,4,97,–,1,–,–,–,5,115,–,2,–,–,–,4,129,–,1,–,–,†,†,†,†,†,†,†
VALLECITO UNION,California,1,–,13,–,52,–,4,–,–,8,–,52,–,3,1,–,14,1,54,–,3,†,†,†,†,†,†,†
VALLECITOS ELEMENTARY,California,–,–,22,–,1,–,1,–,–,22,–,7,–,–,1,–,12,–,4,–,–,–,–,8,–,5,–,–
VALLEJO CITY UNIFIED,California,4,188,466,296,77,28,35,3,208,426,255,68,26,37,4,197,426,318,94,17,42,3,188,392,290,65,25,45
VALLEY CENTER-PAUMA UNIFIED,California,31,1,191,1,92,–,17,28,1,178,2,106,1,13,40,5,153,1,102,–,11,29,2,137,1,110,–,6
VALLEY HOME JOINT ELEMENTARY,California,–,–,9,1,12,–,–,–,–,7,–,8,–,–,–,1,7,–,6,–,–,†,†,†,†,†,†,†
VALLEY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
VALLEY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VENTURA COUNTY OFFICE OF EDUCATION,California,–,2,54,5,91,1,5,–,3,58,4,84,–,7,–,–,52,2,83,–,3,1,4,185,2,76,–,10
VENTURA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VENTURA COUNTY SCHOOLS BUSINESS SERVICES JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VENTURA UNIFIED,California,4,51,702,11,508,5,47,4,47,668,18,554,2,49,4,50,696,17,534,3,57,12,39,648,16,585,4,39
VICTOR ELEMENTARY,California,8,47,1072,307,243,11,53,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VICTOR VALLEY UNION HIGH,California,†,†,†,†,†,†,†,14,61,966,268,271,6,98,21,37,985,259,250,13,82,34,60,1642,557,387,17,195
VINELAND ELEMENTARY,California,–,–,81,–,–,–,–,–,1,83,–,2,–,–,–,–,63,–,–,–,–,†,†,†,†,†,†,†
VISALIA UNIFIED,California,18,101,1590,36,468,2,84,21,112,1541,27,496,6,61,25,115,1435,28,513,2,54,23,101,1433,43,510,3,56
VISTA DEL MAR UNION,California,1,–,3,–,4,–,4,–,1,5,–,2,–,3,–,–,5,–,2,–,3,†,†,†,†,†,†,†
VISTA UNIFIED,California,4,67,1174,37,414,13,75,12,75,1153,39,482,14,89,11,63,1123,34,438,11,77,5,80,1174,35,529,23,79
WALNUT CREEK ELEMENTARY,California,–,80,57,6,242,–,35,–,66,65,11,241,3,29,–,66,54,12,273,–,7,†,†,†,†,†,†,†
WALNUT VALLEY UNIFIED,California,–,679,264,22,78,3,33,2,709,277,23,90,3,32,2,750,276,27,92,3,32,–,840,294,39,116,4,28
WARNER UNIFIED,California,9,12,25,3,66,–,17,8,6,39,–,57,1,15,10,8,24,2,58,–,14,6,6,22,1,29,–,9
WASCO UNION ELEMENTARY,California,–,3,372,9,13,–,–,–,2,358,7,10,–,–,–,3,343,13,10,–,1,†,†,†,†,†,†,†
WASCO UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,3,445,5,18,–,1
WASHINGTON COLONY ELEMENTARY,California,–,–,42,–,1,–,–,–,–,28,2,6,–,–,1,–,42,–,3,–,–,†,†,†,†,†,†,†
WASHINGTON UNIFIED,California,3,105,269,40,161,9,23,6,81,256,38,186,14,12,8,92,287,40,194,8,13,7,95,255,37,149,3,10
WASHINGTON UNIFIED,California,1,17,168,14,14,–,1,–,14,126,10,8,–,1,1,20,126,17,7,–,1,3,35,207,18,45,–,6
